time_days,layer,i,j,pressure_psia,sw,sg
0.100000,2,2,7,4790.210733,0.200000,0.000000
0.100000,2,3,7,4790.210647,0.200000,0.000000
0.100000,2,4,7,4790.211182,0.200000,0.000000
0.100000,2,5,7,4790.208638,0.200000,0.000000
0.100000,2,6,7,4790.217774,0.200000,0.000000
0.100000,2,7,7,4790.193803,0.200000,0.000000
0.100000,2,8,7,4790.236884,0.200000,0.000000
0.100000,2,9,7,4790.188615,0.200000,0.000000
0.100000,2,10,7,4790.209530,0.200000,0.000000
0.100000,2,1,8,4790.210726,0.200000,0.000000
0.100000,2,2,8,4790.210695,0.200000,0.000000
0.100000,2,3,8,4790.210913,0.200000,0.000000
0.100000,2,4,8,4790.209725,0.200000,0.000000
0.100000,2,5,8,4790.214766,0.200000,0.000000
0.100000,2,6,8,4790.198488,0.200000,0.000000
0.100000,2,7,8,4790.236884,0.200000,0.000000
0.100000,2,8,8,4790.173297,0.200000,0.000000
0.100000,2,9,8,4790.223686,0.200000,0.000000
0.100000,2,10,8,4790.117741,0.200000,0.000000
0.100000,2,1,9,4790.210716,0.200000,0.000000
0.100000,2,2,9,4790.210767,0.200000,0.000000
0.100000,2,3,9,4790.210462,0.200000,0.000000
0.100000,2,4,9,4790.211924,0.200000,0.000000
0.100000,2,5,9,4790.206447,0.200000,0.000000
0.100000,2,6,9,4790.222026,0.200000,0.000000
0.100000,2,7,9,4790.188615,0.200000,0.000000
0.100000,2,8,9,4790.223686,0.200000,0.000000
0.100000,2,9,9,4790.023003,0.200000,0.000000
0.100000,2,10,9,4788.359933,0.200002,0.000000
0.100000,2,1,10,4790.210727,0.200000,0.000000
0.100000,2,2,10,4790.210695,0.200000,0.000000
0.100000,2,3,10,4790.210855,0.200000,0.000000
0.100000,2,4,10,4790.210235,0.200000,0.000000
0.100000,2,5,10,4790.212061,0.200000,0.000000
0.100000,2,6,10,4790.207848,0.200000,0.000000
0.100000,2,7,10,4790.209530,0.200000,0.000000
0.100000,2,8,10,4790.117741,0.200000,0.000000
0.100000,2,9,10,4788.359933,0.200002,0.000000
0.100000,2,10,10,4753.036444,0.200045,0.000000
0.100000,3,1,1,4800.368847,0.200000,0.000000
0.100000,3,2,1,4800.299092,0.200000,0.000000
0.100000,3,3,1,4800.295386,0.200000,0.000000
0.100000,3,4,1,4800.295204,0.200000,0.000000
0.100000,3,5,1,4800.295195,0.200000,0.000000
0.100000,3,6,1,4800.295195,0.200000,0.000000
0.100000,3,7,1,4800.295194,0.200000,0.000000
0.100000,3,8,1,4800.295199,0.200000,0.000000
0.100000,3,9,1,4800.295189,0.200000,0.000000
0.100000,3,10,1,4800.295200,0.200000,0.000000
0.100000,3,1,2,4800.299092,0.200000,0.000000
0.100000,3,2,2,4800.295570,0.200000,0.000000
0.100000,3,3,2,4800.295233,0.200000,0.000000
